2016,7,12,10,54
timestamp, trialcnt, block, diameter, mousex, mousey
457214.0,0,0,150,60,839,525
457231.0,0,0,150,60,839,525
457249.0,0,0,150,60,839,525
457264.0,0,0,150,60,839,525
457281.0,0,0,150,60,839,525
457296.0,0,0,150,60,839,525
457313.0,0,0,150,60,839,525
457330.0,0,0,150,60,839,525
457347.0,0,0,150,60,839,525
457365.0,0,0,150,60,839,525
457382.0,0,0,150,60,839,525
457399.0,0,0,150,60,839,525
457413.0,0,0,150,60,839,525
457430.0,0,0,150,60,839,525
457448.0,0,0,150,60,839,525
457464.0,0,0,150,60,839,525
457481.0,0,0,150,60,839,525
457498.0,0,0,150,60,839,525
457516.0,0,0,150,60,839,525
457530.0,0,0,150,60,839,525
457547.0,0,0,150,60,839,525
457563.0,0,0,150,60,839,525
457580.0,0,0,150,60,839,525
457597.0,0,0,150,60,839,525
457615.0,0,0,150,60,839,525
457630.0,0,0,150,60,839,525
457647.0,0,0,150,60,839,525
457664.0,0,0,150,60,839,525
457680.0,0,0,150,60,839,525
457697.0,0,0,150,60,839,525
457713.0,0,0,150,60,839,525
457731.0,0,0,150,60,839,525
457748.0,0,0,150,60,839,525
457765.0,0,0,150,60,839,525
457780.0,0,0,150,60,839,525
457798.0,0,0,150,60,839,525
457815.0,0,0,150,60,839,525
457830.0,0,0,150,60,839,525
457847.0,0,0,150,60,839,525
457864.0,0,0,150,60,839,525
457881.0,0,0,150,60,839,525
457899.0,0,0,150,60,839,525
457915.0,0,0,150,60,839,525
457930.0,0,0,150,60,839,525
457948.0,0,0,150,60,839,525
457964.0,0,0,150,60,839,525
457980.0,0,0,150,60,839,525
457997.0,0,0,150,60,839,525
458015.0,0,0,150,60,839,525
458032.0,0,0,150,60,839,525
458047.0,0,0,150,60,839,525
458064.0,0,0,150,60,839,525
458080.0,0,0,150,60,839,525
458098.0,0,0,150,60,839,525
458114.0,0,0,150,60,839,525
458131.0,0,0,150,60,839,525
458149.0,0,0,150,60,839,525
458164.0,0,0,150,60,839,525
458180.0,0,0,150,60,839,525
458198.0,0,0,150,60,839,525
458213.0,0,0,150,60,839,525
458230.0,0,0,150,60,839,525
458247.0,0,0,150,60,839,525
458265.0,0,0,150,60,839,525
458281.0,0,0,150,60,839,525
458298.0,0,0,150,60,839,525
458314.0,0,0,150,60,839,525
458332.0,0,0,150,60,839,525
458348.0,0,0,150,60,839,525
458364.0,0,0,150,60,839,525
458381.0,0,0,150,60,839,525
458398.0,0,0,150,60,839,525
458414.0,0,0,150,60,839,525
458430.0,0,0,150,60,839,525
458448.0,0,0,150,60,839,525
458464.0,0,0,150,60,839,525
458481.0,0,0,150,60,839,525
458498.0,0,0,150,60,839,525
458514.0,0,0,150,60,839,525
458532.0,0,0,150,60,839,525
458549.0,0,0,150,60,839,525
458564.0,0,0,150,60,839,525
458580.0,0,0,150,60,839,525
458599.0,0,0,150,60,839,525
458614.0,0,0,150,60,839,525
458630.0,0,0,150,60,839,525
458648.0,0,0,150,60,839,525
458665.0,0,0,150,60,839,525
458680.0,0,0,150,60,839,525
458699.0,0,0,150,60,839,525
458714.0,0,0,150,60,839,525
458730.0,0,0,150,60,839,525
458748.0,0,0,150,60,839,525
458764.0,0,0,150,60,839,525
458781.0,0,0,150,60,839,525
458798.0,0,0,150,60,839,525
458814.0,0,0,150,60,839,525
458830.0,0,0,150,60,839,525
458849.0,0,0,150,60,839,525
458863.0,0,0,150,60,839,525
458882.0,0,0,150,60,839,525
458898.0,0,0,150,60,839,525
458915.0,0,0,150,60,839,525
458930.0,0,0,150,60,839,525
458948.0,0,0,150,60,839,525
458963.0,0,0,150,60,839,525
458980.0,0,0,150,60,839,525
458999.0,0,0,150,60,839,525
459013.0,0,0,150,60,839,525
459031.0,0,0,150,60,839,525
459049.0,0,0,150,60,839,525
459064.0,0,0,150,60,839,525
459082.0,0,0,150,60,839,525
459098.0,0,0,150,60,839,525
459115.0,0,0,150,60,839,525
459132.0,0,0,150,60,839,525
459147.0,0,0,150,60,839,525
459164.0,0,0,150,60,839,525
459181.0,0,0,150,60,839,525
459198.0,0,0,150,60,839,525
459215.0,0,0,150,60,839,525
459232.0,0,0,150,60,839,525
459249.0,0,0,150,60,839,525
459265.0,0,0,150,60,839,525
459282.0,0,0,150,60,839,525
459298.0,0,0,150,60,839,525
459316.0,0,0,150,60,839,525
459331.0,0,0,150,60,839,525
459347.0,0,0,150,60,839,525
459366.0,0,0,150,60,839,525
459382.0,0,0,150,60,839,525
459399.0,0,0,150,60,839,525
459414.0,0,0,150,60,839,525
459431.0,0,0,150,60,839,525
459449.0,0,0,150,60,839,525
459464.0,0,0,150,60,839,525
459481.0,0,0,150,60,839,525
459497.0,0,0,150,60,839,525
459516.0,0,0,150,60,839,525
459530.0,0,0,150,60,839,525
459548.0,0,0,150,60,839,525
459565.0,0,0,150,60,839,525
459582.0,0,0,150,60,839,525
459598.0,0,0,150,60,839,525
459615.0,0,0,150,60,839,525
459633.0,0,0,150,60,839,525
459647.0,0,0,150,60,839,525
459664.0,0,0,150,60,839,525
459682.0,0,0,150,60,839,525
459698.0,0,0,150,60,839,525
459716.0,0,0,150,60,839,525
459731.0,0,0,150,60,839,525
459747.0,0,0,150,60,839,525
459765.0,0,0,150,60,839,525
459780.0,0,0,150,60,839,525
459797.0,0,0,150,60,839,525
459814.0,0,0,150,60,839,525
459831.0,0,0,150,60,839,525
459847.0,0,0,150,60,839,525
459865.0,0,0,150,60,839,525
459881.0,0,0,150,60,839,525
459896.0,0,0,150,60,839,525
459913.0,0,0,150,60,839,525
459931.0,0,0,150,60,839,525
459948.0,0,0,150,60,839,525
459965.0,0,0,150,60,839,525
459982.0,0,0,150,60,839,525
459999.0,0,0,150,60,839,525
460015.0,0,0,150,60,839,525
460032.0,0,0,150,60,839,525
460047.0,0,0,150,60,839,525
460064.0,0,0,150,60,839,525
460080.0,0,0,150,60,839,525
460099.0,0,0,150,60,839,525
460115.0,0,0,150,60,839,525
460132.0,0,0,150,60,839,525
460147.0,0,0,150,60,839,525
460163.0,0,0,150,60,839,525
460181.0,0,0,150,60,839,525
460198.0,0,0,150,60,839,525
460215.0,0,0,150,60,839,525
460233.0,0,0,150,60,839,525
460247.0,0,0,150,60,839,525
460266.0,0,0,150,60,839,525
460280.0,0,0,150,60,839,525
460297.0,0,0,150,60,839,525
460314.0,0,0,150,60,839,525
460331.0,0,0,150,60,839,525
460349.0,0,0,150,60,839,525
460366.0,0,0,150,60,839,525
460382.0,0,0,150,60,839,525
460397.0,0,0,150,60,839,525
460415.0,0,0,150,60,839,525
460430.0,0,0,150,60,839,525
460447.0,0,0,150,60,839,525
460465.0,0,0,150,60,839,525
460482.0,0,0,150,60,839,525
460498.0,0,0,150,60,839,525
460515.0,0,0,150,60,839,525
460530.0,0,0,150,60,839,525
460550.0,0,0,150,60,839,525
460565.0,0,0,150,60,839,525
460581.0,0,0,150,60,839,525
460598.0,0,0,150,60,839,525
460616.0,0,0,150,60,839,525
460631.0,0,0,150,60,839,525
460647.0,0,0,150,60,839,525
460664.0,0,0,150,60,839,525
460680.0,0,0,150,60,839,525
460697.0,0,0,150,60,839,525
460714.0,0,0,150,60,839,525
460732.0,0,0,150,60,839,525
460747.0,0,0,150,60,839,525
460763.0,0,0,150,60,839,525
460782.0,0,0,150,60,839,525
460797.0,0,0,150,60,839,525
460813.0,0,0,150,60,839,525
460832.0,0,0,150,60,839,525
460847.0,0,0,150,60,839,525
460865.0,0,0,150,60,839,525
460880.0,0,0,150,60,839,525
460900.0,0,0,150,60,839,525
460914.0,0,0,150,60,839,525
460930.0,0,0,150,60,839,525
460947.0,0,0,150,60,839,525
460964.0,0,0,150,60,839,525
460981.0,0,0,150,60,839,525
460999.0,0,0,150,60,839,525
461016.0,0,0,150,60,839,525
461030.0,0,0,150,60,839,525
461047.0,0,0,150,60,839,525
461065.0,0,0,150,60,839,525
461080.0,0,0,150,60,839,525
461097.0,0,0,150,60,839,525
461115.0,0,0,150,60,839,525
461132.0,0,0,150,60,839,525
461147.0,0,0,150,60,839,525
461164.0,0,0,150,60,839,525
461183.0,0,0,150,60,839,525
461197.0,0,0,150,60,839,525
461214.0,0,0,150,60,839,525
461231.0,0,0,150,60,839,525
461249.0,0,0,150,60,839,525
461266.0,0,0,150,60,839,525
461282.0,0,0,150,60,839,525
461297.0,0,0,150,60,839,525
461314.0,0,0,150,60,839,525
461332.0,0,0,150,60,839,525
461347.0,0,0,150,60,839,525
461364.0,0,0,150,60,839,525
461382.0,0,0,150,60,839,525
461397.0,0,0,150,60,839,525
461414.0,0,0,150,60,839,525
461431.0,0,0,150,60,839,525
461447.0,0,0,150,60,839,525
461466.0,0,0,150,60,839,525
461481.0,0,0,150,60,839,525
461498.0,0,0,150,60,839,525
461514.0,0,0,150,60,839,525
461533.0,0,0,150,60,839,525
461549.0,0,0,150,60,839,525
461565.0,0,0,150,60,839,525
461581.0,0,0,150,60,839,525
461597.0,0,0,150,60,839,525
461616.0,0,0,150,60,839,525
461632.0,0,0,150,60,839,525
461649.0,0,0,150,60,839,525
461665.0,0,0,150,60,839,525
461680.0,0,0,150,60,839,525
461699.0,0,0,150,60,839,525
461716.0,0,0,150,60,839,525
461732.0,0,0,150,60,839,525
461748.0,0,0,150,60,839,525
461765.0,0,0,150,60,839,525
461782.0,0,0,150,60,839,525
461799.0,0,0,150,60,839,525
461816.0,0,0,150,60,839,525
461831.0,0,0,150,60,839,525
461849.0,0,0,150,60,839,525
461866.0,0,0,150,60,839,525
461881.0,0,0,150,60,839,525
461899.0,0,0,150,60,839,525
461915.0,0,0,150,60,839,525
461931.0,0,0,150,60,839,525
461950.0,0,0,150,60,839,525
461966.0,0,0,150,60,839,525
461982.0,0,0,150,60,839,525
461997.0,0,0,150,60,839,525
462015.0,0,0,150,60,839,525
462032.0,0,0,150,60,839,525
462049.0,0,0,150,60,839,525
462065.0,0,0,150,60,839,525
462083.0,0,0,150,60,839,525
462098.0,0,0,150,60,839,525
462113.0,0,0,150,60,839,525
462131.0,0,0,150,60,839,525
462148.0,0,0,150,60,839,525
462166.0,0,0,150,60,839,525
462183.0,0,0,150,60,839,525
